BANK;NUMBER
"197 - STONE PAGAMENTOS";197
"208 - BANCO BTG PACTUAL";208
"212 - BANCO ORIGINAL";212
"213 - BANCO ARBI";213
"217 - BANCO JOHN DEERE";217
"218 - BANCO BS2";218
"222 - BANCO CRÉDIT AGRICOLE BR";222
"224 - BANCO FIBRA";224
"233 - BANCO CIFRA";233
"241 - BANCO CLASSICO";241
"243 - BANCO MÁXIMA";243
"246 - BANCO ABC BRASIL";246
"249 - BANCO INVESTCRED UNIBANCO";249
"250 - BCV";250
"253 - BEXS CC";253
"254 - PARANA BANCO";254
"259 - MONEYCORP BANCO DE CÂMBIO";259
"265 - BANCO FATOR";265
"266 - BANCO CEDULA";266
"268 - BARI CIA HIPOTECÁRIA";268
"269 - BANCO HSBC";269
"270 - SAGITUR CC LTDA";270
"271 - IB CCTVM";271
"272 - AGK CC";272
"273 - CCR DE SÃO MIGUEL DO OESTE"273;
"274 - MONEY PLUS SCMEPP LTDA";274
"276 - SENFF - CFI";276
"278 - GENIAL INVESTIMENTOS CVM";278
"279 - CCR DE PRIMAVERA DO LESTE";279
"280 - AVISTA CFI";280
"281 - CCR COOPAVEL";281
"283 - RB CAPITAL INVESTIMENTOS DTVM LTDA.";283
"285 - FRENTE CC LTDA.";285
"286 - CCR DE OURO";286
"288 - CAROL DTVM LTDA.";288
"289 - DECYSEO CC LTDA.";289
"292 - BS2 DTVM";292
"293 - LASTRO RDV DTVM LTDA";293
"296 - VISION CC";296
"298 - VIPS CC LTDA.";298
"299 - SOROCRED CFI";299
"300 - BANCO LA NACION ARGENTINA";300
"301 - BPP IP";301
"306 - PORTOPAR DTVM LTDA";306
"307 - TERRA INVESTIMENTOS DTVM";307
"309 - CAMBIONET CC LTDA";309
"310 - VORTX DTVM LTDA.";310
"313 - AMAZÔNIA CC LTDA.";313
"315 - PI DTVM";315
"318 - BANCO BMG";318
"319 - OM DTVM LTDA";319
"320 - BANCO CCB BRASIL";320
"321 - CREFAZ SCMEPP LTDA";321
"322 - CCR DE ABELARDO LUZ";322
"325 - ÓRAMA DTVM";325
"326 - PARATI - CFI";326
"329 - QI SCD";329
"330 - BANCO BARI";330
"331 - FRAM CAPITAL DTVM";331
"332 - ACESSO SOLUCOES PAGAMENTO SA";332
"335 - BANCO DIGIO";335
"336 - BANCO C6";336
"340 - SUPER PAGAMENTOS E ADMINISTRACAO DE MEIOS ELETRONICOS";340
"342 - CREDITAS SCD";342
"343 - FFA SCMEPP LTDA.";343
"348 - BANCO XP";348
"349 - AMAGGI CFI";349
"350 - CREHNOR LARANJEIRAS";350
"352 - TORO CTVM LTDA";352
"354 - NECTON INVESTIMENTOS S.A CVM";354
"355 - ÓTIMO SCD";355
"359 - ZEMA CFI S/A";359
"360 - TRINUS CAPITAL DTVM";360
"362 - CIELO";362
"363 - SOCOPA SC PAULISTA";363
"364 - GERENCIANET PAGTOS BRASIL LTDA";364
"365 - SOLIDUS CCVM";365
"366 - BANCO SOCIETE GENERALE BRASIL";366
"367 - VITREO DTVM";367
"368 - BANCO CSF";368
"370 - BANCO MIZUHO";370
"371 - WARREN CVMC LTDA";371
"373 - UP.P SEP";373
"376 - BANCO J.P. MORGAN";376
"378 - BBC LEASING";378
"379 - CECM COOPERFORTE";379
"381 - BANCO MERCEDES-BENZ";381
"382 - FIDUCIA SCMEPP LTDA";382
"383 - JUNO";383
"387 - BANCO TOYOTA DO BRASIL";387
"389 - BANCO MERCANTIL DO BRASIL";389
"390 - BANCO GM";390
"391 - CCR DE IBIAM";391
"393 - BANCO VOLKSWAGEN S.A";393
"394 - BANCO BRADESCO FINANC.";394
"396 - HUB PAGAMENTOS";396
"399 - KIRTON BANK";399
"412 - BANCO CAPITAL";412
"422 - BANCO SAFRA";422
"456 - BANCO MUFG BRASIL";456
"464 - BANCO SUMITOMO MITSUI BRASIL";464
"473 - BANCO CAIXA GERAL BRASIL";473
"477 - CITIBANK N.A.";477
"479 - BANCO ITAUBANK";479
"487 - DEUTSCHE BANKBANCO ALEMAO";487
"488 - JPMORGAN CHASE BANK";488
"492 - ING BANK N.V.";492
"495 - BANCO LA PROVINCIA B AIRES BCE";495
"505 - BANCO CREDIT SUISSE";505
"545 - SENSO CCVM";545
"600 - BANCO LUSO BRASILEIRO";600
"604 - BANCO INDUSTRIAL DO BRASIL";604
"610 - BANCO VR";610
"611 - BANCO PAULISTA";611
"612 - BANCO GUANABARA";612
"613 - OMNI BANCO";613
"623 - BANCO PAN";623
"626 - BANCO C6 CONSIG";626
"630 - SMARTBANK";630
"633 - BANCO RENDIMENTO";633
"634 - BANCO TRIANGULO";634
"637 - BANCO SOFISA";637
"643 - BANCO PINE";643
"652 - ITAÚ UNIBANCO HOLDING";652
"653 - BANCO INDUSVAL";653
"654 - BANCO DIGIMAIS";654
"655 - BANCO VOTORANTIM";655
"707 - BANCO DAYCOVAL S.A";707
"712 - BANCO OURINVEST";712
"739 - BANCO CETELEM";739
"741 - BANCO RIBEIRAO PRETO";741
"743 - BANCO SEMEAR";743
"745 - BANCO CITIBANK";745
"746 - BANCO MODAL";746
"747 - BANCO RABOBANK INTL BRASIL";747
"748 - BANCO COOPERATIVO SICREDI";748
"751 - SCOTIABANK BRASIL";751
"752 - BANCO BNP PARIBAS BRASIL S A";752
"753 - NOVO BANCO CONTINENTAL - BM";753
"754 - BANCO SISTEMA";754
"755 - BOFA MERRILL LYNCH BM";755
"756 - BANCOOB";756
"757 - BANCO KEB HANA DO BRASIL";757
